id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3535002,SP,0.03,5.631,0.04,0.33,0.11,0.0142,-0.0019,3.01,Orlândia,0,5,0.0002,False
3534906,SP,0.04,5.0767,0.02,0.17,0.07,0.0049,-0.0076,3.92,Orindiúva,0,5,0.0002,False
3534757,SP,0.02,6.422,0.08,0.26,0.17,0.0271,0.0104,3.13,Outros,0,6,0.0002,False
3534708,SP,0.66,1.2637,0.92,6.75,3.32,0.0195,-0.0024,77.92,Onda Verde,0,3,0.0046,False
3534807,SP,0.04,4.8057,0.01,0.04,0.08,0.0154,-0.0018,1.56,Oriente,0,5,0.0002,False
3534609,SP,0.11,3.2424,0.05,0.54,0.29,0.0072,-0.0038,14.38,Olímpia,0,3,0.0008,False
3534401,SP,8.07,0.8871,113.35,207.62,250.08,0.3654,-0.0065,354.25,Ocauçu,0,3,0.0463,True
3534302,SP,0.25,2.1131,0.41,3.55,1.33,0.0319,-0.009,19.27,Nuporanga,0,3,0.0014,False
3534500,SP,0.01,13.8537,0.01,0.04,0.02,0.008,-0.0011,0.75,Óleo,0,4,0.0,False
3534203,SP,0.02,8.4478,0.06,0.16,0.09,0.0206,-0.0225,2.04,Novo Horizonte,0,6,0.0001,False
3534104,SP,0.03,5.7812,0.0,0.11,0.05,0.0082,-0.0059,1.75,Nova Ubiratã,0,5,0.0001,False
3534005,SP,0.02,6.511,0.04,0.17,0.1,0.0159,0.002,2.68,Nova Santa Rosa,0,5,0.0002,False
3533700,SP,0.02,6.2578,0.04,0.03,0.11,0.036,-0.006,1.33,Nova Prata,0,5,0.0001,False
3533601,SP,0.01,8.6786,0.04,0.15,0.09,0.0116,0.0074,3.68,Nova Ponte,0,6,0.0002,False
3533809,SP,0.02,7.4994,0.01,0.08,0.04,0.0171,0.0148,0.74,Nova Roma do Sul,0,6,0.0001,False
3533908,SP,0.22,2.2124,0.38,3.82,1.42,0.0173,-0.0078,39.68,Nova Santa Rita,0,3,0.002,False
3533502,SP,0.17,2.4537,0.19,1.82,0.78,0.0152,-0.0008,23.08,Nova Palma,0,3,0.0013,False
3533254,SP,0.01,8.9061,0.02,0.09,0.05,0.0213,-0.002,1.02,Novais,0,6,0.0001,False
3533304,SP,0.01,10.6523,0.0,0.04,0.01,0.0027,-0.0137,0.95,Nova Luzitânia,0,6,0.0001,False
